0x00	0x0060	#(grave)GRAVE ACCENT
0x01	0x00B4	#(acute)ACUTE ACCENT
0x02	0x02C6	#(circumflex)MODIFIER LETTER CIRCUMFLEX ACCENT
0x03	0x02DC	#(tilde)SMALL TILDE
0x04	0x00A8	#(dieresis)DIAERESIS
0x05	0x02DD	#(hungarumlaut)DOUBLE ACUTE ACCENT
0x06	0x02DA	#(ring)RING ABOVE
0x07	0x02C7	#(caron)CARON
0x08	0x02D8	#(breve)BREVE
0x09	0x00AF	#(macron)MACRON
0x0A	0x02D9	#(dotaccent)DOT ABOVE
0x0B	0x00B8	#(cedilla)CEDILLA
0x0C	0x02DB	#(ogonek)OGONEK
0x0D	0x201A	#(quotesinglbase)SINGLE LOW-9 QUOTATION MARK
0x0E	0x2039	#(guilsinglleft)SINGLE LEFT-POINTING ANGLE QUOTATION MARK
0x0F	0x203A	#(guilsinglright)SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
0x10	0x201C	#(quotedblleft)LEFT DOUBLE QUOTATION MARK
0x11	0x201D	#(quotedblright)RIGHT DOUBLE QUOTATION MARK
0x12	0x201E	#(quotedblbase)DOUBLE LOW-9 QUOTATION MARK
0x13	0x00AB	#(guillemotleft)LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x14	0x00BB	#(guillemotright)RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x15	0x2013	#(endash)EN DASH
0x16	0x2014	#(emdash)EM DASH
0x17	0x200C	#ZERO WIDTH NON-JOINER
0x18	0xEB4D	#(perthousandzero)<PUA>
0x19	0x0131	#(dotlessi)LATIN SMALL LETTER DOTLESS I
0x1A	0x0237	#LATIN SMALL LETTER DOTLESS J
0x1B	0xFB00	#(ff)LATIN SMALL LIGATURE FF
0x1C	0xFB01	#(fi)LATIN SMALL LIGATURE FI
0x1D	0xFB02	#(fl)LATIN SMALL LIGATURE FL
0x1E	0xFB03	#(ffi)LATIN SMALL LIGATURE FFI
0x1F	0xFB04	#(ffl)LATIN SMALL LIGATURE FFL
0x20	0x0020	#(space)SPACE
0x21	0x0021	#(exclam)EXCLAMATION MARK
0x22	0x0022	#(quotedbl)QUOTATION MARK
0x23	0x0023	#(numbersign)NUMBER SIGN
0x24	0x0024	#(dollar)DOLLAR SIGN
0x25	0x0025	#(percent)PERCENT SIGN
0x26	0x0026	#(ampersand)AMPERSAND
0x27	0x2019	#(quoteright)RIGHT SINGLE QUOTATION MARK
0x28	0x0028	#(parenleft)LEFT PARENTHESIS
0x29	0x0029	#(parenright)RIGHT PARENTHESIS
0x2A	0x002A	#(asterisk)ASTERISK
0x2B	0x002B	#(plus)PLUS SIGN
0x2C	0x002C	#(comma)COMMA
0x2D	0x002D	#(hyphen)HYPHEN-MINUS
0x2E	0x002E	#(period)FULL STOP
0x2F	0x002F	#(slash)SOLIDUS
0x30	0x0030	#(zero)DIGIT ZERO
0x31	0x0031	#(one)DIGIT ONE
0x32	0x0032	#(two)DIGIT TWO
0x33	0x0033	#(three)DIGIT THREE
0x34	0x0034	#(four)DIGIT FOUR
0x35	0x0035	#(five)DIGIT FIVE
0x36	0x0036	#(six)DIGIT SIX
0x37	0x0037	#(seven)DIGIT SEVEN
0x38	0x0038	#(eight)DIGIT EIGHT
0x39	0x0039	#(nine)DIGIT NINE
0x3A	0x003A	#(colon)COLON
0x3B	0x003B	#(semicolon)SEMICOLON
0x3C	0x003C	#(less)LESS-THAN SIGN
0x3D	0x003D	#(equal)EQUALS SIGN
0x3E	0x003E	#(greater)GREATER-THAN SIGN
0x3F	0x003F	#(question)QUESTION MARK
0x40	0x0040	#(at)COMMERCIAL AT
0x41	0x0041	#(A)LATIN CAPITAL LETTER A
0x42	0x0042	#(B)LATIN CAPITAL LETTER B
0x43	0x0043	#(C)LATIN CAPITAL LETTER C
0x44	0x0044	#(D)LATIN CAPITAL LETTER D
0x45	0x0045	#(E)LATIN CAPITAL LETTER E
0x46	0x0046	#(F)LATIN CAPITAL LETTER F
0x47	0x0047	#(G)LATIN CAPITAL LETTER G
0x48	0x0048	#(H)LATIN CAPITAL LETTER H
0x49	0x0049	#(I)LATIN CAPITAL LETTER I
0x4A	0x004A	#(J)LATIN CAPITAL LETTER J
0x4B	0x004B	#(K)LATIN CAPITAL LETTER K
0x4C	0x004C	#(L)LATIN CAPITAL LETTER L
0x4D	0x004D	#(M)LATIN CAPITAL LETTER M
0x4E	0x004E	#(N)LATIN CAPITAL LETTER N
0x4F	0x004F	#(O)LATIN CAPITAL LETTER O
0x50	0x0050	#(P)LATIN CAPITAL LETTER P
0x51	0x0051	#(Q)LATIN CAPITAL LETTER Q
0x52	0x0052	#(R)LATIN CAPITAL LETTER R
0x53	0x0053	#(S)LATIN CAPITAL LETTER S
0x54	0x0054	#(T)LATIN CAPITAL LETTER T
0x55	0x0055	#(U)LATIN CAPITAL LETTER U
0x56	0x0056	#(V)LATIN CAPITAL LETTER V
0x57	0x0057	#(W)LATIN CAPITAL LETTER W
0x58	0x0058	#(X)LATIN CAPITAL LETTER X
